City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Loudi,CN,27.73,111.99,70.99,36,0,7.99,clear sky
250,Paamiut,GL,61.99,-49.67,20.98,91,100,40.29,overcast clouds
251,Kenora,CA,49.82,-94.43,57.0,82,90,13.87,overcast clouds
252,Winona,US,43.97,-91.77,64.0,64,6,4.0,clear sky
253,Lagoa,PT,39.05,-27.98,60.98,66,90,14.14,overcast clouds
254,Atbasar,KZ,51.8,68.33,37.24,90,100,27.2,light rain
255,Barra Do Garcas,BR,-15.89,-52.26,73.74,81,99,0.63,light rain
256,Portadown,GB,54.42,-6.44,54.0,93,75,9.17,broken clouds
257,Tanout,NE,14.97,8.89,66.25,35,0,10.45,clear sky
258,Mount Gambier,AU,-37.83,140.77,84.2,23,92,10.29,overcast clouds
259,Port Elizabeth,ZA,-33.92,25.57,57.2,93,75,12.75,light rain
260,Vila Velha,BR,-20.33,-40.29,77.0,83,75,5.82,broken clouds
261,Vanavara,RU,60.34,102.28,37.6,85,97,11.01,overcast clouds
262,Marion,US,39.77,-86.16,62.6,77,40,8.05,scattered clouds
263,Lulea,SE,65.58,22.15,39.2,69,0,11.41,clear sky
264,Seddon,AU,-37.81,144.89,84.99,30,45,11.41,scattered clouds
265,Krasnyy,RU,54.57,31.43,33.33,91,6,3.27,clear sky
266,Daud Khel,PK,32.88,71.57,79.65,16,2,1.99,clear sky
267,Ixtapa,MX,20.7,-105.2,77.0,85,54,2.01,broken clouds
268,Diffa,NE,13.32,12.61,70.27,35,6,8.14,clear sky
269,Sibolga,ID,1.74,98.78,82.67,77,99,3.67,overcast clouds
270,Lima,PE,-12.04,-77.03,62.6,82,0,9.17,clear sky
271,La Ronge,CA,55.1,-105.28,12.2,78,90,12.75,light snow
272,Hamilton,US,39.18,-84.53,62.6,55,1,3.89,clear sky
273,Saint-Pierre,RE,-21.34,55.48,80.6,61,20,9.17,few clouds
274,Zaysan,KZ,47.47,84.87,50.76,46,100,15.39,light rain
275,Rennes,FR,48.17,-1.67,54.0,93,0,6.93,clear sky
276,Creel,MX,27.75,-107.63,46.36,97,45,12.93,scattered clouds
277,Broome,US,42.25,-75.83,51.8,57,1,1.63,clear sky
278,Camacha,PT,33.08,-16.33,62.6,72,40,6.93,scattered clouds
279,Tual,ID,-5.67,132.75,84.38,71,100,12.84,overcast clouds
280,Itarema,BR,-2.92,-39.92,80.94,75,0,17.05,clear sky
281,Alice Springs,AU,-23.7,133.88,102.2,10,13,12.75,"sand,dust whirls"
282,Fengcheng,CN,40.45,124.07,48.24,45,0,12.48,clear sky
283,Santiago,CL,-33.46,-70.65,63.0,76,72,4.7,broken clouds
284,Ancud,CL,-41.87,-73.82,52.0,81,0,8.05,clear sky
285,Harbour Breton,CA,47.48,-55.8,37.99,100,56,12.01,broken clouds
286,Karasjok,NO,69.47,25.51,39.2,92,40,40.26,scattered clouds
287,Bilibino,RU,68.05,166.44,-1.37,90,100,0.76,overcast clouds
288,Auki,SB,-8.77,160.7,82.22,78,71,2.01,light rain
289,Yablonovo,RU,50.85,37.36,42.8,100,75,6.71,broken clouds
290,Burgeo,CA,47.62,-57.62,34.52,85,81,10.2,broken clouds
291,Xining,CN,36.62,101.77,49.62,34,0,2.71,clear sky
292,Songadh,IN,21.17,73.57,87.57,25,0,6.62,clear sky
293,Garowe,SO,8.41,48.48,80.49,58,2,13.4,clear sky
294,Ahipara,NZ,-35.17,173.17,58.46,85,56,8.01,broken clouds
295,Bure,ET,10.7,37.07,62.53,81,90,3.04,light rain
296,Raudeberg,NO,61.99,5.14,46.0,91,100,7.38,overcast clouds
297,Hermsdorf,DE,50.9,11.87,37.0,100,100,2.24,overcast clouds
298,Ilulissat,GL,69.22,-51.1,14.0,61,86,4.7,overcast clouds
299,Fayaoue,NC,-20.65,166.53,75.24,74,4,20.51,clear sky
300,Acapulco,MX,16.86,-99.89,78.24,81,12,3.67,few clouds
301,Henties Bay,NA,-22.12,14.28,57.99,91,88,5.01,overcast clouds
302,Korla,CN,41.76,86.15,53.42,34,38,7.7,scattered clouds
303,Sechura,PE,-5.56,-80.82,63.16,81,77,8.12,broken clouds
304,Tahta,EG,26.77,31.5,64.4,45,0,9.17,clear sky
305,Sakaraha,MG,-22.9,44.53,89.28,22,0,13.62,clear sky
306,Teya,RU,60.38,92.63,36.73,83,98,18.32,overcast clouds
307,Zeya,RU,53.75,127.27,12.79,78,0,3.94,clear sky
308,Thompson,CA,55.74,-97.86,8.6,84,90,16.11,light snow
309,Hervey Bay,AU,-25.3,152.85,75.0,50,48,8.01,scattered clouds
310,Son La,VN,21.32,103.9,76.68,51,1,2.75,clear sky
311,Paita,PE,-5.09,-81.11,61.88,88,61,8.34,broken clouds
312,Codrington,AU,-38.27,141.97,76.19,68,99,6.33,overcast clouds
313,Bar Harbor,US,44.39,-68.2,48.99,82,34,5.21,scattered clouds
314,Saint George,US,37.1,-113.58,39.99,86,75,9.17,broken clouds
315,Rincon,US,32.3,-81.24,71.6,94,75,11.41,broken clouds
316,Nome,US,64.5,-165.41,24.8,79,1,3.36,clear sky
317,Pantai Remis,MY,4.46,100.63,86.0,74,20,2.24,few clouds
318,Fort Thomas,US,39.08,-84.45,62.6,100,1,4.23,mist
319,Gold Coast,AU,-28.0,153.43,73.99,56,90,17.22,overcast clouds
