City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Marzuq,YE,76.84,clear sky,14.4,46.47,
388,Cabo San Lucas,MX,73.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
393,Thinadhoo,MV,84.65,light rain,0.53,72.93,
394,Kavaratti,IN,86.0,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
396,Sawakin,SD,85.46,scattered clouds,19.11,37.33,فندق الدويم
397,Tonota,BW,71.6,thunderstorm with light rain,-21.48,27.48,6 Ville Hotel
401,Zheleznodorozhnyy,RU,70.83,clear sky,55.75,38.0,Hotel Dali
402,Mogadishu,SO,80.6,few clouds,2.04,45.34,Hotel Juba
406,Khash,IR,70.45,few clouds,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
409,Dakar,SN,75.2,clear sky,14.69,-17.44,Novotel Dakar
412,Bam,IR,74.86,clear sky,29.11,58.36,Bam Tourist Hotel
413,Sao Mateus,BR,71.2,scattered clouds,-18.72,-39.86,Hotel Rio Norte
414,Wattegama,LK,87.8,scattered clouds,6.8,81.48,
417,Borsad,IN,82.4,haze,22.42,72.9,HOTEL DREAM RESIDENCY
418,Idenao,CM,77.16,scattered clouds,4.25,9.0,Moland Beach Resort
422,Pangai,TO,77.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
423,Nishihara,JP,73.4,overcast clouds,26.18,127.76,Minshuku Agaihama
427,Palu,ID,86.36,light rain,-0.89,119.87,Hotel Santika Palu
429,Pangobilian,PH,84.94,light rain,8.8,117.86,Sir Brooke's Resort
430,Puerto Parra,CO,72.19,broken clouds,6.65,-74.06,Hotel Colombia Deko
433,Murwara,IN,80.02,clear sky,23.85,80.4,HOTEL BRIJWASI ROYAL
434,Tianpeng,CN,75.99,few clouds,30.99,103.94,Shuangliu Love Home Business Hotel
437,Gigmoto,PH,85.01,overcast clouds,13.78,124.39,Cj's Travellers Inn
438,Grand Gaube,MU,79.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
441,Phan Thiet,VN,81.88,overcast clouds,10.93,108.1,Hotel Saigon-PT
443,Angoram,PG,87.98,overcast clouds,-4.06,144.07,
445,Kuala Terengganu,MY,82.4,light rain,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
446,Kinkala,CG,75.2,broken clouds,-4.36,14.76,Hotel la Vernande
449,Jishou,CN,72.27,clear sky,28.32,109.72,7Days Inn Jishou Railway Station
450,Chahuites,MX,76.73,few clouds,16.28,-94.18,Hotel José Domingo
453,Pijijiapan,MX,75.88,scattered clouds,15.7,-93.23,Hotel Rosita
454,Uribia,CO,79.34,broken clouds,11.71,-72.27,Hotel Uribia
455,Isangel,VU,75.58,broken clouds,-19.55,169.27,Volcano Sea View Tree House
456,Nayudupeta,IN,84.2,haze,13.9,79.9,Hotel Manju
459,Tonantins,BR,73.99,overcast clouds,-2.87,-67.8,Hotel Rei Davi
463,Vanimo,PG,84.56,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
464,Namibe,AO,72.05,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
466,Xam Nua,LA,71.74,clear sky,20.42,104.04,Phoudy Guesthouse
467,Kipini,KE,78.8,few clouds,-2.53,40.53,Tana River Lodge
469,Basoda,IN,81.95,clear sky,23.85,77.93,Sahu Dharamshala
473,Maragogi,BR,76.1,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
477,Musafirkhana,IN,81.77,clear sky,26.37,81.8,Hindustan Sweets House
479,Xiongzhou,CN,74.52,clear sky,25.12,114.3,Xinhewan Business Hotel
481,Independencia,BR,78.04,few clouds,-5.4,-40.31,Pousada Santa Cruz
484,Koulamoutou,GA,72.14,overcast clouds,-1.13,12.47,Motel Biki
485,Inongo,CD,70.81,moderate rain,-1.95,18.27,Hotel Du Lac
491,Cosamaloapan,MX,71.26,broken clouds,18.37,-95.8,Hotel Catedral
493,Humberto De Campos,BR,78.13,scattered clouds,-2.6,-43.46,Pousada do Cabeça
496,Boa Vista,BR,75.2,moderate rain,2.82,-60.67,Aipana Plaza Hotel
497,Tefe,BR,71.49,broken clouds,-3.35,-64.71,Aracati Hotel
498,Orocue,CO,74.95,light rain,4.79,-71.34,Hotel Brisas de San Miguel
499,Mitsamiouli,KM,81.34,scattered clouds,-11.38,43.28,Foyer ADM
500,Paratinga,BR,70.21,clear sky,-12.69,-43.18,Pousada Magalhães 2
